wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (11.13297999999999988 2.81850999999999985),14/10/2017,14/10/2017,2.81851,11.13298,605,maize,-,2017_CM_GARDIAN-62_POINT_1100,11,1200,0,14/10/2017
Point (11.48221000000000025 3.46310999999999991),14/10/2017,14/10/2017,3.46311,11.48221,662,maize,-,2017_CM_GARDIAN-62_POINT_1101,11,1200,0,14/10/2017
Point (11.48563000000000045 3.46435000000000004),14/10/2017,14/10/2017,3.46435,11.48563,681,maize,-,2017_CM_GARDIAN-62_POINT_1102,11,1200,0,14/10/2017
Point (11.4711199999999991 3.48338000000000036),14/10/2017,14/10/2017,3.48338,11.47112,636,maize,-,2017_CM_GARDIAN-62_POINT_1103,11,1200,0,14/10/2017
Point (11.51492999999999967 3.53730999999999973),14/10/2017,14/10/2017,3.53731,11.51493,723,maize,-,2017_CM_GARDIAN-62_POINT_1104,11,1200,0,14/10/2017
Point (11.40277000000000029 2.93591999999999986),14/10/2017,14/10/2017,2.93592,11.40277,687,maize,-,2017_CM_GARDIAN-62_POINT_1105,11,1200,0,14/10/2017
Point (11.40357999999999983 2.94669000000000025),14/10/2017,14/10/2017,2.94669,11.40358,630,maize,-,2017_CM_GARDIAN-62_POINT_1106,11,1200,0,14/10/2017
Point (11.32578999999999958 2.91579999999999995),14/10/2017,14/10/2017,2.9158,11.32579,586,maize,-,2017_CM_GARDIAN-62_POINT_1107,11,1200,0,14/10/2017
Point (11.13090000000000046 2.81504999999999983),14/10/2017,14/10/2017,2.81505,11.1309,574,maize,-,2017_CM_GARDIAN-62_POINT_1108,11,1200,0,14/10/2017
Point (11.13718999999999859 2.8201299999999998),14/10/2017,14/10/2017,2.82013,11.13719,570,maize,-,2017_CM_GARDIAN-62_POINT_1109,11,1200,0,14/10/2017
Point (14.34872999999999799 4.51760999999999946),22/10/2017,22/10/2017,4.51761,14.34873,630,maize,0,2017_CM_GARDIAN-62_POINT_11010,11,1200,0,22/10/2017
Point (14.35347000000000151 4.49758000000000013),22/10/2017,22/10/2017,4.49758,14.35347,655,maize,manioc,2017_CM_GARDIAN-62_POINT_11011,11,9998,0,22/10/2017
Point (14.35299000000000014 4.49680000000000035),22/10/2017,22/10/2017,4.4968,14.35299,674,maize,manioc,2017_CM_GARDIAN-62_POINT_11012,11,9998,0,22/10/2017
Point (14.36847999999999814 4.47645999999999944),22/10/2017,22/10/2017,4.47646,14.36848,644,maize,manioc,2017_CM_GARDIAN-62_POINT_11013,11,9998,0,22/10/2017
Point (14.97961000000000098 4.02308000000000021),22/10/2017,22/10/2017,4.02308,14.97961,626,maize,0,2017_CM_GARDIAN-62_POINT_11014,11,1200,0,22/10/2017
Point (14.98062999999999967 4.02771999999999952),22/10/2017,22/10/2017,4.02772,14.98063,568,maize,0,2017_CM_GARDIAN-62_POINT_11015,11,1200,0,22/10/2017
Point (15.10952000000000162 3.92456000000000005),22/10/2017,22/10/2017,3.92456,15.10952,667,maize,0,2017_CM_GARDIAN-62_POINT_11016,11,1200,0,22/10/2017
Point (15.01989999999999981 4.01841999999999988),22/10/2017,22/10/2017,4.01842,15.0199,596,maize,manioc,2017_CM_GARDIAN-62_POINT_11017,11,9998,0,22/10/2017
Point (15.02242000000000033 4.02024999999999988),22/10/2017,22/10/2017,4.02025,15.02242,608,maize,manioc,2017_CM_GARDIAN-62_POINT_11018,11,9998,0,22/10/2017
Point (15.04095000000000049 3.51861999999999986),23/10/2017,23/10/2017,3.51862,15.04095,517,maize,conconbre,2017_CM_GARDIAN-62_POINT_11019,11,9998,0,23/10/2017
Point (14.99516000000000027 3.52845999999999993),23/10/2017,23/10/2017,3.52846,14.99516,602,maize,cacao,2017_CM_GARDIAN-62_POINT_11020,10,9998,0,23/10/2017
Point (15.05992000000000175 3.53411999999999971),23/10/2017,23/10/2017,3.53412,15.05992,537,maize,0,2017_CM_GARDIAN-62_POINT_11021,11,1200,0,23/10/2017
Point (11.39766000000000012 4.01370999999999967),07/11/2017,07/11/2017,4.01371,11.39766,605,maize,0,2017_CM_GARDIAN-62_POINT_11022,11,1200,0,07/11/2017
Point (11.25145000000000017 4.10448000000000057),07/11/2017,07/11/2017,4.10448,11.25145,548,maize,arachide/manioc,2017_CM_GARDIAN-62_POINT_11023,11,9998,0,07/11/2017
Point (11.15470000000000006 4.09634000000000054),07/11/2017,07/11/2017,4.09634,11.1547,509,maize,arachide/manioc,2017_CM_GARDIAN-62_POINT_11024,11,9998,0,07/11/2017
Point (11.18647999999999954 4.11120000000000019),07/11/2017,07/11/2017,4.1112,11.18648,576,maize,0,2017_CM_GARDIAN-62_POINT_11025,11,1200,0,07/11/2017
